Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Treadmill Running,2020-07-29 11:36:48,false,"Treadmill Running","2.24","243","00:17:27","138","153","2.9","161","168","7:47","6:52","--","--","1.28","0.0","0.0","0.0","0.0","0.0","17:27","0:00","73.4","0:00","No","01:48.32","3","0.0"
Treadmill Running,2020-07-28 16:31:10,false,"Treadmill Running","2.29","235","00:16:48","139","151","2.9","160","169","7:21","5:40","--","--","1.38","0.0","0.0","0.0","0.0","0.0","16:48","0:00","73.4","0:00","No","02:14.49","3","0.0"
Treadmill Running,2020-07-27 19:14:02,false,"Treadmill Running","1.03","107","00:08:14.8","131","143","2.0","159","166","8:02","6:48","--","--","1.26","0.0","0.0","0.0","0.0","0.0","8:14.8","0:00","77.0","0:00","No","00:10.30","2","0.0"
Treadmill Running,2020-07-26 15:17:05,false,"Treadmill Running","0.64","63","00:04:22.9","142","152","1.8","171","175","6:51","5:11","--","--","1.38","0.0","0.0","0.0","0.0","0.0","4:22.9","0:00","78.8","0:00","No","04:22.86","1","0.0"
Running,2020-07-24 16:23:18,false,"Sydney Running","3.09","369","00:25:12","146","170","3.5","157","184","8:09","6:02","246","276","1.26","0.0","0.0","0.0","0.0","0.0","25:12","0:00","62.6","0:00","No","00:35.28","4","0.0"
Treadmill Running,2020-07-22 17:29:20,false,"Treadmill Running","1.03","111","00:07:58.9","139","153","2.2","163","173","7:45","5:46","--","--","1.27","0.0","0.0","0.0","0.0","0.0","7:58.9","0:00","75.2","0:00","No","00:15.40","2","0.0"
Treadmill Running,2020-07-22 16:38:38,false,"Treadmill Running","1.10","105","00:08:29.3","128","148","2.0","157","165","7:44","7:08","--","--","1.32","0.0","0.0","0.0","0.0","0.0","8:29.3","0:00","75.2","0:00","No","00:45.93","2","0.0"
Treadmill Running,2020-07-21 20:04:57,false,"Treadmill Running","1.05","130","00:08:06.8","158","166","2.6","161","168","7:44","6:54","--","--","1.30","0.0","0.0","0.0","0.0","0.0","8:06.8","0:00","73.4","0:00","No","00:22.08","2","0.0"
Running,2020-07-20 11:14:32,false,"Sydney Running","3.87","471","00:27:57","163","187","4.8","166","188","7:14","4:49","318","315","1.34","0.0","0.0","0.0","0.0","0.0","27:57","0:00","62.6","0:00","No","06:19.15","4","0.0"
Treadmill Running,2020-07-18 15:20:28,false,"Treadmill Running","1.04","93","00:07:00.9","133","146","2.0","166","213","6:43","5:10","--","--","1.44","0.0","0.0","0.0","0.0","0.0","7:00.9","0:00","73.4","0:00","No","00:27.72","2","0.0"
